train_losses,train_accuracies,val_losses,val_accuracies
0.2080325738749682,0.916662326162821,0.2551302330692609,0.9109375000000001
0.12823182474285297,0.9510651596437314,0.195616614818573,0.9273958333333334
0.09268196745857087,0.9652065211729778,0.9036275323232015,0.7807291666666667
0.031275201954723296,0.9896869628626491,0.13306500047445297,0.9622916666666668
0.012158368789463851,0.9959893744465858,0.1495413330818216,0.9628125000000001
0.006122564880084338,0.9982811604771081,0.18131584520141283,0.9606250000000001
0.003600401739546503,0.9989843221001093,0.17706358026713132,0.9632291666666667
0.00313118050932202,0.9991145372154799,0.1795588331669569,0.9641666666666667
0.0026772261932570354,0.999348924423147,0.1832271101201574,0.9651041666666668
0.002396257182981374,0.9994270534923694,0.18374459685136874,0.9651041666666668
