train_losses,train_accuracies,val_losses,val_accuracies
0.36464110718610926,0.8391062034480963,0.6705203572909038,0.6977083333333334
0.29917210335687794,0.872024584613782,0.7361666218439737,0.7258333333333333
0.27417509246228905,0.8872337100890672,0.34503596981366474,0.8556250000000001
0.2295907676806704,0.9063492890254701,0.24946574489275614,0.8985416666666667
0.21102180160534334,0.913797593624668,0.240168474316597,0.8981250000000001
0.20342293401715458,0.9171311005781551,0.23790841341018676,0.9052083333333334
0.1955229495458227,0.9196833168394187,0.23829890588919322,0.9018750000000001
0.19736353829025732,0.9179123912703786,0.23903269251187642,0.9029166666666667
0.19232050824431715,0.9195791447471222,0.22720009366671245,0.9102083333333334
0.19766918987329132,0.9208812959008281,0.2321577783425649,0.9045833333333334
