train_losses,train_accuracies,val_losses,val_accuracies
0.3031150481217702,0.8704620032293349,0.45715760231018066,0.8090625
0.23585521017218564,0.9024688785874264,0.2714811406532923,0.8892708333333333
0.20934651029334106,0.9154903901244856,0.25519893983999886,0.8997916666666668
0.1576217339486714,0.9377571748528569,0.20160255660613377,0.9220833333333334
0.13682523955272272,0.945465909682796,0.18786572694778442,0.9261458333333334
0.129521159846259,0.9493463201208396,0.19128573447465896,0.9260416666666668
0.12233630768460739,0.9528100421896973,0.1660809513926506,0.935625
0.12236391592413207,0.9530965154435127,0.16151716003815333,0.9371875000000001
0.12078089176944112,0.9528360852127715,0.1595909932255745,0.9363541666666667
0.11794464014068147,0.954476795666441,0.16426630546649298,0.9373958333333334
0.1176628499739623,0.9537996770665138,0.16327280963460605,0.9367708333333334
0.11703096629912123,0.9546590968279598,0.16263391981522243,0.93625
0.12133304910508536,0.9529142142819939,0.15465668881932895,0.9411458333333333
0.11720963534664515,0.9539298921818845,0.15307879090309143,0.9404166666666667
0.11932695910308974,0.953174644512735,0.1607902572552363,0.9376041666666667
0.11554068127714276,0.9545809677587375,0.16059607873360315,0.9397916666666667
